"Plot Title: 60 Lafayette"
"#","Date Time, GMT-05:00","Motor, % on (LGR S/N: 20133267, SEN S/N: 20133267, LBL: AHU 11 Supply)","Total: Motor on, Time on (sec) (LGR S/N: 20133267)","Internal Calibration (LGR S/N: 20133267)","Button Down (LGR S/N: 20133267)","Button Up (LGR S/N: 20133267)","Host Connected (LGR S/N: 20133267)","Stopped (LGR S/N: 20133267)","End Of File (LGR S/N: 20133267)"
107,12/08/20 03:46:00 PM,100.00,,,,,,,
108,12/08/20 03:47:00 PM,100.00,,,,,,,
109,12/08/20 03:48:00 PM,100.00,,,,,,,
110,12/08/20 03:49:00 PM,100.00,,,,,,,
111,12/08/20 03:50:00 PM,100.00,,,,,,,
112,12/08/20 03:51:00 PM,100.00,,,,,,,
113,12/08/20 03:52:00 PM,100.00,,,,,,,
114,12/08/20 03:53:00 PM,100.00,,,,,,,
115,12/08/20 03:54:00 PM,100.00,,,,,,,
116,12/08/20 03:55:00 PM,100.00,,,,,,,
117,12/08/20 03:56:00 PM,100.00,,,,,,,
118,12/08/20 03:57:00 PM,100.00,,,,,,,
119,12/08/20 03:58:00 PM,100.00,,,,,,,
120,12/08/20 03:59:00 PM,100.00,,,,,,,
121,12/08/20 04:00:00 PM,100.00,3600.0,,,,,,
122,12/08/20 04:01:00 PM,100.00,,,,,,,
123,12/08/20 04:02:00 PM,100.00,,,,,,,
124,12/08/20 04:03:00 PM,100.00,,,,,,,
125,12/08/20 04:04:00 PM,100.00,,,,,,,
126,12/08/20 04:05:00 PM,100.00,,,,,,,
127,12/08/20 04:06:00 PM,100.00,,,,,,,
128,12/08/20 04:07:00 PM,100.00,,,,,,,
129,12/08/20 04:08:00 PM,100.00,,,,,,,
130,12/08/20 04:09:00 PM,100.00,,,,,,,
131,12/08/20 04:10:00 PM,100.00,,,,,,,
132,12/08/20 04:11:00 PM,100.00,,,,,,,
133,12/08/20 04:12:00 PM,100.00,,,,,,,
134,12/08/20 04:13:00 PM,100.00,,,,,,,
135,12/08/20 04:14:00 PM,100.00,,,,,,,
136,12/08/20 04:15:00 PM,100.00,,,,,,,
137,12/08/20 04:16:00 PM,100.00,,,,,,,
138,12/08/20 04:17:00 PM,100.00,,,,,,,
139,12/08/20 04:18:00 PM,100.00,,,,,,,
140,12/08/20 04:19:00 PM,100.00,,,,,,,
141,12/08/20 04:20:00 PM,100.00,,,,,,,
142,12/08/20 04:21:00 PM,100.00,,,,,,,
143,12/08/20 04:22:00 PM,100.00,,,,,,,
144,12/08/20 04:23:00 PM,100.00,,,,,,,
145,12/08/20 04:24:00 PM,100.00,,,,,,,
146,12/08/20 04:25:00 PM,100.00,,,,,,,
147,12/08/20 04:26:00 PM,100.00,,,,,,,
148,12/08/20 04:27:00 PM,100.00,,,,,,,
149,12/08/20 04:28:00 PM,100.00,,,,,,,
150,12/08/20 04:29:00 PM,100.00,,,,,,,
151,12/08/20 04:30:00 PM,100.00,,,,,,,
152,12/08/20 04:31:00 PM,100.00,,,,,,,
153,12/08/20 04:32:00 PM,100.00,,,,,,,
154,12/08/20 04:33:00 PM,100.00,,,,,,,
155,12/08/20 04:34:00 PM,100.00,,,,,,,
156,12/08/20 04:35:00 PM,100.00,,,,,,,
157,12/08/20 04:36:00 PM,100.00,,,,,,,
158,12/08/20 04:37:00 PM,100.00,,,,,,,
159,12/08/20 04:38:00 PM,100.00,,,,,,,
160,12/08/20 04:39:00 PM,100.00,,,,,,,
161,12/08/20 04:40:00 PM,100.00,,,,,,,
162,12/08/20 04:41:00 PM,100.00,,,,,,,
163,12/08/20 04:42:00 PM,100.00,,,,,,,
164,12/08/20 04:43:00 PM,100.00,,,,,,,
165,12/08/20 04:44:00 PM,100.00,,,,,,,
166,12/08/20 04:45:00 PM,100.00,,,,,,,
167,12/08/20 04:46:00 PM,100.00,,,,,,,
168,12/08/20 04:47:00 PM,100.00,,,,,,,
169,12/08/20 04:48:00 PM,100.00,,,,,,,
170,12/08/20 04:49:00 PM,100.00,,,,,,,
171,12/08/20 04:50:00 PM,100.00,,,,,,,
172,12/08/20 04:51:00 PM,100.00,,,,,,,
173,12/08/20 04:52:00 PM,100.00,,,,,,,
174,12/08/20 04:53:00 PM,100.00,,,,,,,
175,12/08/20 04:54:00 PM,100.00,,,,,,,
176,12/08/20 04:55:00 PM,100.00,,,,,,,
177,12/08/20 04:56:00 PM,100.00,,,,,,,
178,12/08/20 04:57:00 PM,100.00,,,,,,,
179,12/08/20 04:58:00 PM,100.00,,,,,,,
180,12/08/20 04:59:00 PM,100.00,,,,,,,
181,12/08/20 05:00:00 PM,100.00,3600.0,,,,,,
182,12/08/20 05:01:00 PM,100.00,,,,,,,
183,12/08/20 05:02:00 PM,100.00,,,,,,,
184,12/08/20 05:03:00 PM,100.00,,,,,,,
185,12/08/20 05:04:00 PM,100.00,,,,,,,
186,12/08/20 05:05:00 PM,100.00,,,,,,,
187,12/08/20 05:06:00 PM,100.00,,,,,,,
188,12/08/20 05:07:00 PM,100.00,,,,,,,
189,12/08/20 05:08:00 PM,100.00,,,,,,,
190,12/08/20 05:09:00 PM,100.00,,,,,,,
191,12/08/20 05:10:00 PM,100.00,,,,,,,
192,12/08/20 05:11:00 PM,100.00,,,,,,,
193,12/08/20 05:12:00 PM,100.00,,,,,,,
194,12/08/20 05:13:00 PM,100.00,,,,,,,
195,12/08/20 05:14:00 PM,100.00,,,,,,,
196,12/08/20 05:15:00 PM,100.00,,,,,,,
197,12/08/20 05:16:00 PM,100.00,,,,,,,
198,12/08/20 05:17:00 PM,100.00,,,,,,,
199,12/08/20 05:18:00 PM,100.00,,,,,,,
200,12/08/20 05:19:00 PM,100.00,,,,,,,
201,12/08/20 05:20:00 PM,100.00,,,,,,,
202,12/08/20 05:21:00 PM,100.00,,,,,,,
203,12/08/20 05:22:00 PM,100.00,,,,,,,
204,12/08/20 05:23:00 PM,100.00,,,,,,,
205,12/08/20 05:24:00 PM,100.00,,,,,,,
206,12/08/20 05:25:00 PM,100.00,,,,,,,
207,12/08/20 05:26:00 PM,100.00,,,,,,,
208,12/08/20 05:27:00 PM,100.00,,,,,,,
209,12/08/20 05:28:00 PM,100.00,,,,,,,
210,12/08/20 05:29:00 PM,100.00,,,,,,,
211,12/08/20 05:30:00 PM,100.00,,,,,,,
212,12/08/20 05:31:00 PM,100.00,,,,,,,
213,12/08/20 05:32:00 PM,100.00,,,,,,,
214,12/08/20 05:33:00 PM,100.00,,,,,,,
215,12/08/20 05:34:00 PM,100.00,,,,,,,
216,12/08/20 05:35:00 PM,100.00,,,,,,,
217,12/08/20 05:36:00 PM,100.00,,,,,,,
218,12/08/20 05:37:00 PM,100.00,,,,,,,
219,12/08/20 05:38:00 PM,100.00,,,,,,,
220,12/08/20 05:39:00 PM,100.00,,,,,,,
221,12/08/20 05:40:00 PM,100.00,,,,,,,
222,12/08/20 05:41:00 PM,100.00,,,,,,,
223,12/08/20 05:42:00 PM,100.00,,,,,,,
224,12/08/20 05:43:00 PM,100.00,,,,,,,
225,12/08/20 05:44:00 PM,100.00,,,,,,,
226,12/08/20 05:45:00 PM,100.00,,,,,,,
227,12/08/20 05:46:00 PM,100.00,,,,,,,
228,12/08/20 05:47:00 PM,100.00,,,,,,,
229,12/08/20 05:48:00 PM,100.00,,,,,,,
230,12/08/20 05:49:00 PM,100.00,,,,,,,
231,12/08/20 05:50:00 PM,100.00,,,,,,,
232,12/08/20 05:51:00 PM,100.00,,,,,,,
233,12/08/20 05:52:00 PM,100.00,,,,,,,
234,12/08/20 05:53:00 PM,100.00,,,,,,,
235,12/08/20 05:54:00 PM,100.00,,,,,,,
236,12/08/20 05:55:00 PM,100.00,,,,,,,
237,12/08/20 05:56:00 PM,100.00,,,,,,,
238,12/08/20 05:57:00 PM,100.00,,,,,,,
239,12/08/20 05:58:00 PM,100.00,,,,,,,
240,12/08/20 05:59:00 PM,100.00,,,,,,,
241,12/08/20 06:00:00 PM,100.00,280.0,,,,,,
242,12/08/20 06:01:00 PM,100.00,,,,,,,
243,12/08/20 06:02:00 PM,100.00,,,,,,,
244,12/08/20 06:03:00 PM,100.00,,,,,,,
245,12/08/20 06:04:00 PM,66.67,,,,,,,
246,12/08/20 06:05:00 PM,0.00,,,,,,,
247,12/08/20 06:06:00 PM,0.00,,,,,,,
248,12/08/20 06:07:00 PM,0.00,,,,,,,
249,12/08/20 06:08:00 PM,0.00,,,,,,,
250,12/08/20 06:09:00 PM,0.00,,,,,,,
251,12/08/20 06:10:00 PM,0.00,,,,,,,
252,12/08/20 06:11:00 PM,0.00,,,,,,,
253,12/08/20 06:12:00 PM,0.00,,,,,,,
254,12/08/20 06:13:00 PM,0.00,,,,,,,
255,12/08/20 06:14:00 PM,0.00,,,,,,,
256,12/08/20 06:15:00 PM,0.00,,,,,,,
257,12/08/20 06:16:00 PM,0.00,,,,,,,
258,12/08/20 06:17:00 PM,0.00,,,,,,,
259,12/08/20 06:18:00 PM,0.00,,,,,,,
260,12/08/20 06:19:00 PM,0.00,,,,,,,
261,12/08/20 06:20:00 PM,0.00,,,,,,,
262,12/08/20 06:21:00 PM,0.00,,,,,,,
263,12/08/20 06:22:00 PM,0.00,,,,,,,
264,12/08/20 06:23:00 PM,0.00,,,,,,,
265,12/08/20 06:24:00 PM,0.00,,,,,,,
266,12/08/20 06:25:00 PM,0.00,,,,,,,
267,12/08/20 06:26:00 PM,0.00,,,,,,,
268,12/08/20 06:27:00 PM,0.00,,,,,,,
269,12/08/20 06:28:00 PM,0.00,,,,,,,
270,12/08/20 06:29:00 PM,0.00,,,,,,,
271,12/08/20 06:30:00 PM,0.00,,,,,,,
272,12/08/20 06:31:00 PM,0.00,,,,,,,
273,12/08/20 06:32:00 PM,0.00,,,,,,,
274,12/08/20 06:33:00 PM,0.00,,,,,,,
275,12/08/20 06:34:00 PM,0.00,,,,,,,
276,12/08/20 06:35:00 PM,0.00,,,,,,,
277,12/08/20 06:36:00 PM,0.00,,,,,,,
278,12/08/20 06:37:00 PM,0.00,,,,,,,
279,12/08/20 06:38:00 PM,0.00,,,,,,,
280,12/08/20 06:39:00 PM,0.00,,,,,,,
281,12/08/20 06:40:00 PM,0.00,,,,,,,
282,12/08/20 06:41:00 PM,0.00,,,,,,,
283,12/08/20 06:42:00 PM,0.00,,,,,,,
284,12/08/20 06:43:00 PM,0.00,,,,,,,
285,12/08/20 06:44:00 PM,0.00,,,,,,,
286,12/08/20 06:45:00 PM,0.00,,,,,,,
287,12/08/20 06:46:00 PM,0.00,,,,,,,
288,12/08/20 06:47:00 PM,0.00,,,,,,,
289,12/08/20 06:48:00 PM,0.00,,,,,,,
290,12/08/20 06:49:00 PM,0.00,,,,,,,
291,12/08/20 06:50:00 PM,0.00,,,,,,,
292,12/08/20 06:51:00 PM,0.00,,,,,,,
293,12/08/20 06:52:00 PM,0.00,,,,,,,
294,12/08/20 06:53:00 PM,0.00,,,,,,,
295,12/08/20 06:54:00 PM,0.00,,,,,,,
296,12/08/20 06:55:00 PM,0.00,,,,,,,
297,12/08/20 06:56:00 PM,0.00,,,,,,,
298,12/08/20 06:57:00 PM,0.00,,,,,,,
299,12/08/20 06:58:00 PM,0.00,,,,,,,
300,12/08/20 06:59:00 PM,0.00,,,,,,,
301,12/08/20 07:00:00 PM,0.00,0.0,,,,,,
302,12/08/20 07:01:00 PM,0.00,,,,,,,
303,12/08/20 07:02:00 PM,0.00,,,,,,,
304,12/08/20 07:03:00 PM,0.00,,,,,,,
305,12/08/20 07:04:00 PM,0.00,,,,,,,
306,12/08/20 07:05:00 PM,0.00,,,,,,,
307,12/08/20 07:06:00 PM,0.00,,,,,,,
308,12/08/20 07:07:00 PM,0.00,,,,,,,
309,12/08/20 07:08:00 PM,0.00,,,,,,,
310,12/08/20 07:09:00 PM,0.00,,,,,,,
311,12/08/20 07:10:00 PM,0.00,,,,,,,
312,12/08/20 07:11:00 PM,0.00,,,,,,,
313,12/08/20 07:12:00 PM,0.00,,,,,,,
314,12/08/20 07:13:00 PM,0.00,,,,,,,
315,12/08/20 07:14:00 PM,0.00,,,,,,,
316,12/08/20 07:15:00 PM,0.00,,,,,,,
317,12/08/20 07:16:00 PM,0.00,,,,,,,
318,12/08/20 07:17:00 PM,0.00,,,,,,,
319,12/08/20 07:18:00 PM,0.00,,,,,,,
320,12/08/20 07:19:00 PM,0.00,,,,,,,
321,12/08/20 07:20:00 PM,0.00,,,,,,,
322,12/08/20 07:21:00 PM,0.00,,,,,,,
323,12/08/20 07:22:00 PM,0.00,,,,,,,
324,12/08/20 07:23:00 PM,0.00,,,,,,,
325,12/08/20 07:24:00 PM,0.00,,,,,,,
326,12/08/20 07:25:00 PM,0.00,,,,,,,
327,12/08/20 07:26:00 PM,0.00,,,,,,,
328,12/08/20 07:27:00 PM,0.00,,,,,,,
329,12/08/20 07:28:00 PM,0.00,,,,,,,
330,12/08/20 07:29:00 PM,0.00,,,,,,,
331,12/08/20 07:30:00 PM,0.00,,,,,,,
332,12/08/20 07:31:00 PM,0.00,,,,,,,
333,12/08/20 07:32:00 PM,0.00,,,,,,,
334,12/08/20 07:33:00 PM,0.00,,,,,,,
335,12/08/20 07:34:00 PM,0.00,,,,,,,
336,12/08/20 07:35:00 PM,0.00,,,,,,,
337,12/08/20 07:36:00 PM,0.00,,,,,,,
338,12/08/20 07:37:00 PM,0.00,,,,,,,
339,12/08/20 07:38:00 PM,0.00,,,,,,,
340,12/08/20 07:39:00 PM,0.00,,,,,,,
341,12/08/20 07:40:00 PM,0.00,,,,,,,
342,12/08/20 07:41:00 PM,0.00,,,,,,,
343,12/08/20 07:42:00 PM,0.00,,,,,,,
344,12/08/20 07:43:00 PM,0.00,,,,,,,
345,12/08/20 07:44:00 PM,0.00,,,,,,,
346,12/08/20 07:45:00 PM,0.00,,,,,,,
347,12/08/20 07:46:00 PM,0.00,,,,,,,
348,12/08/20 07:47:00 PM,0.00,,,,,,,
349,12/08/20 07:48:00 PM,0.00,,,,,,,
350,12/08/20 07:49:00 PM,0.00,,,,,,,
351,12/08/20 07:50:00 PM,0.00,,,,,,,
352,12/08/20 07:51:00 PM,0.00,,,,,,,
353,12/08/20 07:52:00 PM,0.00,,,,,,,
354,12/08/20 07:53:00 PM,0.00,,,,,,,
355,12/08/20 07:54:00 PM,0.00,,,,,,,
356,12/08/20 07:55:00 PM,0.00,,,,,,,
357,12/08/20 07:56:00 PM,0.00,,,,,,,
358,12/08/20 07:57:00 PM,0.00,,,,,,,
359,12/08/20 07:58:00 PM,0.00,,,,,,,
360,12/08/20 07:59:00 PM,0.00,,,,,,,
361,12/08/20 08:00:00 PM,0.00,0.0,,,,,,
362,12/08/20 08:01:00 PM,0.00,,,,,,,
363,12/08/20 08:02:00 PM,0.00,,,,,,,
364,12/08/20 08:03:00 PM,0.00,,,,,,,
365,12/08/20 08:04:00 PM,0.00,,,,,,,
366,12/08/20 08:05:00 PM,0.00,,,,,,,
367,12/08/20 08:06:00 PM,0.00,,,,,,,
368,12/08/20 08:07:00 PM,0.00,,,,,,,
369,12/08/20 08:08:00 PM,0.00,,,,,,,
370,12/08/20 08:09:00 PM,0.00,,,,,,,
371,12/08/20 08:10:00 PM,0.00,,,,,,,
372,12/08/20 08:11:00 PM,0.00,,,,,,,
373,12/08/20 08:12:00 PM,0.00,,,,,,,
374,12/08/20 08:13:00 PM,0.00,,,,,,,
375,12/08/20 08:14:00 PM,0.00,,,,,,,
376,12/08/20 08:15:00 PM,0.00,,,,,,,
377,12/08/20 08:16:00 PM,0.00,,,,,,,
378,12/08/20 08:17:00 PM,0.00,,,,,,,
379,12/08/20 08:18:00 PM,0.00,,,,,,,
380,12/08/20 08:19:00 PM,0.00,,,,,,,
381,12/08/20 08:20:00 PM,0.00,,,,,,,
382,12/08/20 08:21:00 PM,0.00,,,,,,,
383,12/08/20 08:22:00 PM,0.00,,,,,,,
384,12/08/20 08:23:00 PM,0.00,,,,,,,
385,12/08/20 08:24:00 PM,0.00,,,,,,,
386,12/08/20 08:25:00 PM,0.00,,,,,,,
387,12/08/20 08:26:00 PM,0.00,,,,,,,
388,12/08/20 08:27:00 PM,0.00,,,,,,,
389,12/08/20 08:28:00 PM,0.00,,,,,,,
390,12/08/20 08:29:00 PM,0.00,,,,,,,
391,12/08/20 08:30:00 PM,0.00,,,,,,,
392,12/08/20 08:31:00 PM,0.00,,,,,,,
393,12/08/20 08:32:00 PM,0.00,,,,,,,
394,12/08/20 08:33:00 PM,0.00,,,,,,,
395,12/08/20 08:34:00 PM,0.00,,,,,,,
396,12/08/20 08:35:00 PM,0.00,,,,,,,
397,12/08/20 08:36:00 PM,0.00,,,,,,,
398,12/08/20 08:37:00 PM,0.00,,,,,,,
399,12/08/20 08:38:00 PM,0.00,,,,,,,
400,12/08/20 08:39:00 PM,0.00,,,,,,,
401,12/08/20 08:40:00 PM,0.00,,,,,,,
402,12/08/20 08:41:00 PM,0.00,,,,,,,
403,12/08/20 08:42:00 PM,0.00,,,,,,,
404,12/08/20 08:43:00 PM,0.00,,,,,,,
405,12/08/20 08:44:00 PM,0.00,,,,,,,
406,12/08/20 08:45:00 PM,0.00,,,,,,,
407,12/08/20 08:46:00 PM,0.00,,,,,,,
408,12/08/20 08:47:00 PM,0.00,,,,,,,
409,12/08/20 08:48:00 PM,0.00,,,,,,,
410,12/08/20 08:49:00 PM,0.00,,,,,,,
411,12/08/20 08:50:00 PM,0.00,,,,,,,
412,12/08/20 08:51:00 PM,0.00,,,,,,,
413,12/08/20 08:52:00 PM,0.00,,,,,,,
414,12/08/20 08:53:00 PM,0.00,,,,,,,
415,12/08/20 08:54:00 PM,0.00,,,,,,,
416,12/08/20 08:55:00 PM,0.00,,,,,,,
417,12/08/20 08:56:00 PM,0.00,,,,,,,
418,12/08/20 08:57:00 PM,0.00,,,,,,,
419,12/08/20 08:58:00 PM,0.00,,,,,,,
420,12/08/20 08:59:00 PM,0.00,,,,,,,
421,12/08/20 09:00:00 PM,0.00,0.0,,,,,,
422,12/08/20 09:01:00 PM,0.00,,,,,,,
423,12/08/20 09:02:00 PM,0.00,,,,,,,
424,12/08/20 09:03:00 PM,0.00,,,,,,,
425,12/08/20 09:04:00 PM,0.00,,,,,,,
426,12/08/20 09:05:00 PM,0.00,,,,,,,
427,12/08/20 09:06:00 PM,0.00,,,,,,,
428,12/08/20 09:07:00 PM,0.00,,,,,,,
429,12/08/20 09:08:00 PM,0.00,,,,,,,
430,12/08/20 09:09:00 PM,0.00,,,,,,,
431,12/08/20 09:10:00 PM,0.00,,,,,,,
432,12/08/20 09:11:00 PM,0.00,,,,,,,
433,12/08/20 09:12:00 PM,0.00,,,,,,,
434,12/08/20 09:13:00 PM,0.00,,,,,,,
435,12/08/20 09:14:00 PM,0.00,,,,,,,
